Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
Brady Corporation,http://www.bradycorp.com/careers,"Chemical Engineering, Materials Science and Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,,2,"Monday, September 24th",Yes,"Brady Corporation is an international manufacturer and marketer of complete solutions that identify and protect premises, products and people. Its products help customers increase safety, security, productivity and performance and include high-performance labels and signs, safety devices, printing systems and software, and precision die-cut materials. Founded in 1914, the company has more than 500,000 customers in electronics, telecommunications, manufacturing, electrical, construction, education, medical and a variety of other industries. Brady is headquartered in Milwaukee and employs approximately 6,500 people at operations in the Americas, Europe and Asia/Pacific. Brady's fiscal 2011 sales were approximately $1.34 billion. Brady stock trades on the New York Stock Exchange under the symbol BRC.",,PC
"BrightEdge Technologies, Inc.",http://www.brightedge.com/,"Computer Engineering, Computer Science",Full-time,"Masters, Bachelors",West Coast,http://hire.jobvite.com/j/?bj=oRe8VfwS&s=Michigan,1,"Monday, September 24th",No,"BrightEdge stands at the intersection between technology and marketing, transforming the way the world's largest brands manage their digital marketing and Search Engine Optimization (SEO). Our software drives more than $3B in organic search, harnessing the power of analytics to drive revenue from web sites, search engines and social networks across the globe. BrightEdge is based in San Mateo, CA and is privately held with financing from Battery Ventures, Altos Ventures and Illuminate Ventures.",,EECS
Broadcom,www.broadcom.com,"Computer Science, Electrical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.broadcom.com/careers/ur,1,"Tuesday, September 25th",Yes,"Broadcom Corporation (NASDAQ: BRCM), a FORTUNE 500® company, is a global leader and innovator in semiconductor solutions for wired and wireless communications. Broadcom® products seamlessly deliver voice, video, data and multimedia connectivity in the home, office and mobile environments. Broadcom has three business groups summarized as Home (Broadband), Hand (Cellular and Wireless), and Infrastructure (Networking & Processors).",,EECS
Bury+Partners,www.burypartners.com,"Civil Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors",Southwest,,1,"Monday, September 24th",Yes,"Bury+Partners is a professional consulting firm serving the private sector as well as many public agencies. For over 25 years, we've approached the challenges of our work with energy, expertise and a firm commitment to excellence. We expect to achieve nothing less than the highest levels of professionalism for every client. That means we seek appropriate, cost-effective and timely solutions for our clients.",,BBB
BWI Group,www.bwigroup.com,"Automotive Engineering, Computer Engineering, Electrical Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors",Midwest,email resume to careers@bwigroup.com,1,"Tuesday, September 25th",No,"BWI Group is a premier chassis supplier that designs and manufactures brake and suspension systems for the global transportation market. BWI has US offices in Brighton, MI and Dayton, OH, as well as numerous international offices around the world.",,DOW
Campbell Soup,www.campbellsoup.com,"Chemical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Summer Internship, Co-Op","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest",careers.campbellsoupcompany.com,2,"Tuesday, September 25th",Yes,"Campbell Soup Company (NYSE:CPB) is a global manufacturer and marketer of high quality foods and simple meals, including soups and sauces, baked snacks and healthy beverages. Founded in 1869, the company has a portfolio of market-leading brands, “Campbell's,” “Pepperidge Farm,” “Arnott's,” and “V8.” Through its corp. social responsibility program, the company strives to make a positive impact in the workplace, in the marketplace and in the communities in which it operates.",,DOW
Capgemini,Capgemini.com,"Aerospace Engineering, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering",Full-time,"Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,2,"Tuesday, September 25th",Yes,"Capgemini enables you to transform your organization and improve performance. We aim to empower you to respond more quickly and intuitively to changing market dynamics. By bolstering your ability to harness the right technology, we help you become more agile and competitive. People matter, results count.",,GA
Capital One,www.capitalone.com/careers,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship",,,,2,"Tuesday, September 25th",No,"Capital One is a diversified bank that offers a broad array of financial products and services to consumers, small businesses and commercial clients. A Fortune 500 company, Capital One has one of the most widely recognized brands in America. As one of the nation's top 10 largest banks based on deposits, Capital One serves banking customers through branch locations and primarily in New York, New Jersey, Texas, Louisiana, Maryland, Virginia, and DC.",,PC
CareEvolution,http://careevolution.com,"Computer Engineering, Computer Science",Full-time,"PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,1,"Tuesday, September 25th",Yes,"CareEvolution is a leading provider of secure interoperability solutions. We offer HIEBus™, a Health Information Exchange (HIE) technology platform to enable underlying EMRs to ""share"" clinical information in a secure, reliable, and incremental manner. Distinct components such as Identity Management, Record Location, Clinical Data Integration, Audit & Log, Data Persistence, Visualization, Terminology, and Data Mining may be adopted piecemeal or as a comprehensive technology platform.",,EECS
Caterpillar Inc Engineering,www.JoinTeamCaterpillar.com,"Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,www.JoinTeamCaterpillar.com,2,"Monday, September 24th",Yes,"For more than 85 years, Caterpillar Inc. has been making progress possible and driving positive and sustainable change on every continent. Caterpillar has grown to be the largest maker of construction and mining equipment, diesel and natural gas engines and industrial gas turbines in the world.",,DOW
Caterpillar Inc Technical Marketing,www.JoinTeamCaterpillar.com,No information,"Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,www.JoinTeamCaterpillar.com,2,"Tuesday, September 25th",No,"For more than 85 years, Caterpillar Inc. has been making progress possible and driving positive and sustainable change on every continent. Caterpillar has grown to be the largest maker of construction and mining equipment, diesel and natural gas engines and industrial gas turbines in the world.",,BBB
Central Intelligence Agency (CIA),www.cia.gov,"Aerospace Engineering, Chemical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Interdisciplinary Engineering (Undergraduate), Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors",Northeast,www.cia.gov Note: Summer internships are for 2013,3,"Monday, September 24th",Yes,"The Central Intelligence Agency (CIA) is an independent US Government agency whose mission is to collect, analyze, evaluate, and disseminate foreign intelligence to assist the President and senior US government policymakers in making decisions relating to national security.",,PC
